user_rank,user_id,user_hash,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,class
0,10341,b665db891e387291e27e8686c1d68cc2,-3.64639318197184e-06,-0.0001484919080205,-0.0004022647035825,8.306917250564941e-05,-6.107480192556727e-05,0.0003374637655464,-4.243664528847731e-05,2.6796787967236645e-05,5.237127848640686e-05,-0.0001040502469961,1
1,2030,1773462a1d0ff8909929fccf5b1ef0b7,-0.0001256267027764,7.929332508022526e-05,2.915555350797277e-05,1.80203346752688e-05,-3.648362630786992e-05,-2.774841024460276e-05,-2.842803790739589e-05,-7.14005075183163e-05,-0.0001084684350568,0.0002543967753794,2
2,12166,ed140fce438f59e6e07e5ee7bd726692,-0.0003744609997394,-2.394070831095228e-05,-0.0002404834089085,9.704517666132228e-05,-7.462054206599056e-05,0.0002095761885202,-1.5803495073048645e-05,2.283458350791128e-05,-5.920043193926799e-05,-2.6911843956250944e-05,1
3,7061,a6e90d60e193cf6580038e3d2e6e98a6,1.876477708815216e-06,3.642795709558051e-05,0.0003414481132313,-4.2308369673268704e-05,-2.0002503524518067e-05,-0.0002493153818624,-3.079896684538573e-05,3.7977462741855303e-06,-0.0001574528714048,0.0002358679168402,0
4,15467,b6dcc0b62ae56b7dbb8c3b1dcf24087f,0.0001027124604106,0.0001425010736173,0.0002456913206666,3.495408731062132e-05,-6.389723422014056e-05,9.87727389357165e-06,0.000115927150294,0.0001412951113178,-0.0001767976026855,-0.0001649518200189,3
5,8099,1dc9bfaf8e471651214720b654e7263f,-0.0002128020367362,-8.542546404900607e-05,-3.797060510098562e-05,0.0001300538788661,-6.865554981288035e-05,-4.298076544592455e-05,3.6619993629065e-05,1.4029747468329854e-05,-5.2243019254551615e-05,2.0548769057238056e-05,20
6,5009,ce6b28af524873229c02a91b70c92fda,-0.0002848540721296,-0.000110582673284,-0.0002345701587364,1.4136682181296547e-05,-1.0059136253082532e-05,7.999385895181105e-05,3.912855108102552e-06,1.6709787585176843e-05,-5.170590068357879e-06,-0.0001299926401997,1
7,15238,6d7ef5f20f9129fc5a9a36c484469e21,-0.0002658118969225,-0.0003998624303814,0.0006015250181644,0.0001256068459954,1.7394433313923215e-05,-0.0003507720957307,-5.8554377234881166e-05,8.023294276157557e-05,0.0003042682755734,0.0001435488621996,0
8,12206,7b2e4f232e78f1656eddd6dd6a357fa4,-0.0002424683914133,-0.0001206762003776,-9.39426012616736e-05,-2.6517873497749247e-05,-2.857364899487337e-05,0.000160739800329,-1.9515316736680942e-05,-1.4964974751804378e-05,1.4667491834668438e-05,-0.0001220606548164,1
9,15325,e0a70ea54d3d19aa0eb3888914b9e90f,-0.000313294883518,9.730396199133016e-05,7.043590862511254e-06,-0.0003325840149353,0.0001316866893111,0.0004004250232315,-8.580693786259191e-05,-0.0003506838549627,0.0003740758709017,-0.0001764435877826,1
10,2694,6d19dd86f1bd51ecec43c70edf0c13c1,-0.0002100841421059,-1.2586240265070578e-05,0.0001013814485891,1.1048855790940647e-05,1.7911503440793528e-05,-0.0002551515697657,-3.688988953198485e-05,-0.0002987403988014,0.0001631211005858,0.0002827248347146,0
11,10014,bc3c53c127f00fab4efdf8e89a42df46,-3.690628312519398e-05,-0.0002989688064097,-9.454790498022895e-05,0.0001863794615236,-0.0001775474319495,0.0001435521426678,-7.686153820020774e-06,4.752749172881585e-05,-8.679301357766182e-05,-5.252662789732879e-05,20
